 8          puzzle size (rows and columns)
 4   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  2  0
 0  4  1  0
 0  1  2  0
 0  3  3  0
 0  2 12  1
 0  2  7  1
 0  1 11  2
 0  4  8  4
 0  4  9  3
 0  4  6  1
 0  2  7  4
 0  3  9  4
 0  1  8  1
 0  4  8  2
 0  1 12  3
 0  4 10  1
 0  3  6  4
 0  1  9  2
 0  3  5  4
 0  2  8  4
 0  3  7  3
 0  1 12  1
 0  3  7  2
 0  2  9  3
 0  2  5  2
 0  2  6  4
 0  1  8  3
 0  3 12  3
 8  6  5 10
 9  5 12 10
10  8 11  5
10  5  7  5
 6  5 12  5
11  7 11 10
 9  7  6  6
 7 12  7  8
 8  9 11  7
 5  6 10  9
11 11  8  6
 7  7  7 11
11  8  6  8
 6 11 11  6
12  7  9  9
10 10  5  7
12  6 11 12
 7  6 10 11
10  5 12  5
 7  9  9  6
 8 10  8  9
 5 10  9  8
 8  6 10  8
12  6  8 12
12 11 11 12
10  6 10  9
 7 12  7  5
 6 10 10  6
12 11  6  6
11  5  9 11
 9  5  8  9
 9 12 10  5
 9 12 12  5
11  5  9  7
 8  8  9 10
 8  7  7 11
