 8          puzzle size (rows and columns)
 4   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  2  0
 0  4  3  0
 0  4  1  0
 0  2  4  0
 0  1 12  3
 0  1  7  4
 0  2  9  2
 0  4  5  1
 0  3  8  2
 0  2  5  1
 0  3  8  4
 0  3  6  4
 0  3  6  3
 0  4  5  4
 0  4  7  1
 0  2  9  4
 0  2  9  3
 0  3 12  3
 0  4  7  3
 0  1  5  4
 0  1 10  3
 0  2 10  1
 0  1 12  1
 0  3  5  2
 0  4  7  2
 0  1  6  2
 0  2  7  2
 0  3  8  1
11  8 11 12
 9  7  6 11
10  7  8 11
 5  7  7 11
 7 12  5  9
 8 10  8  9
 8 10 11  8
10  8  5 12
 5  5 11  9
10  6 11  5
 5 12  9  5
 5  6  8  7
12 12  5  7
 8  7  7 10
11 12  6  6
11 10  7 12
 7 10 10  6
 7 12  8  5
10  5 11 10
11 10 10 10
 7  7  9  6
 6  6  7 12
12  9  8 12
12 11 12  8
 5  8 11  6
11  9  8 12
 6  6  8  9
 7  9 10  9
11  6 10  8
 8 11  6 11
 5  6  6 12
 9  9 12 10
 8  9  8  7
 9 11 10  9
 6  9  9  9
 6 11  6  5
