 8          puzzle size (rows and columns)
 4   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  4  0
 0  2  3  0
 0  1  1  0
 0  3  2  0
 0  3 10  1
 0  4 10  3
 0  1  5  4
 0  2  8  3
 0  4  7  4
 0  4  9  4
 0  4 10  2
 0  4 11  3
 0  1  6  2
 0  3  7  2
 0  3  6  3
 0  3  9  1
 0  4  5  1
 0  3  5  3
 0  1  9  2
 0  1  5  1
 0  1  8  4
 0  3 12  1
 0  2  7  4
 0  1  8  2
 0  2  8  4
 0  2  5  3
 0  4  8  1
 0  2 11  2
 7  9 10  5
11  6  9 11
 9 10 12  9
 7  6  7  7
 9 11  7  8
 7  9 11  8
12  8 11  9
 5  9 10 10
 6  5  8 12
 8  5 11  5
 8 11 12 12
 5  6  6  9
11  7 12  6
 5  9  6  7
 9 10  6  7
12  7 12 11
10 11  5  8
10 11  8  7
 9  9  9  6
12 10 12  9
 8  8  7  8
11  6  7  5
10  6 11 10
 8  5 10  7
11 10  8 10
 6  7  7  6
 5  7  8  6
 6  6 10 10
12  8  6 12
12  5  8  6
 7  9  5  9
10 12 10  6
11 12  9 11
 6 12 11  5
12 12  9 11
 7  5  8 12
