 8          puzzle size (rows and columns)
 4   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  2  0
 0  1  4  0
 0  2  2  0
 0  2  1  0
 0  3  5  3
 0  4 11  4
 0  1  7  1
 0  3 10  4
 0  4 10  1
 0  2 10  2
 0  4  9  3
 0  3 11  2
 0  1  6  2
 0  4 12  1
 0  2 12  3
 0  1  7  3
 0  3  9  4
 0  4  5  3
 0  1  6  3
 0  4  5  1
 0  2  5  4
 0  1  7  4
 0  3 10  1
 0  4 11  1
 0  2 12  4
 0  3  9  2
 0  2 11  3
 0  1  8  2
12  5  7 11
 5  5 12 11
10 12 10  6
 6  7  8 10
11  7  6  5
11  9 11  7
 8 10 11  9
12  8  6 11
10  6  9  8
 7  8  8  8
 9  7  7  8
12 11  5  7
11 11 12  5
12  9  8  7
 8 11  6  8
 7  7  6  9
12  5  9  6
10  5  6  7
11 12 10  7
 6  8  6  5
12  8 10 11
 6 12 11 11
 6 10  7  8
10  6  9  5
 9  9 12 10
 6 12  6  8
 9 10  9  7
10  8  6 10
 7  7  9  5
 6  8 12  9
 9  9 12  8
 6  7  5 12
 5  8  5  7
 8  8  5 10
11  9 10  9
 6  9  5 12
