 8          puzzle size (rows and columns)
 4   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  1  0
 0  4  2  0
 0  2  2  0
 0  1  3  0
 0  1 12  4
 0  4  7  4
 0  3  7  4
 0  3  7  1
 0  4 12  4
 0  4 11  1
 0  2  9  2
 0  3  5  3
 0  2  7  4
 0  1 10  2
 0  4  7  3
 0  1  8  1
 0  3 10  4
 0  2  9  1
 0  2  6  1
 0  2  6  2
 0  1  9  2
 0  3  8  3
 0  3 10  1
 0  1 11  3
 0  3  9  4
 0  2 12  2
 0  1 12  3
 0  4  5  3
10  9 10  6
11  7  7 11
 7  9 10  9
 6  6  7  5
10  5  6  9
11 12  5 12
11  9 11 10
 6  8  8  5
 8  8  7  9
11 11  8  6
12 11  6 12
10  6  8  8
 8  9  7  5
 6 10  7  7
 6  7 11 12
 7 12  6  6
 7 11  9  9
 5  5 12 10
 5 10 11  8
 7  5  7  6
 5  9  5 11
 9  6  6 11
12 11 10 12
 6 10  8 12
 9  5  6 10
 7 12 12  7
 8 10 11 10
 8 12  6  9
10  8  5 11
 8  8  9 10
12 12  5  9
11  6  7  6
 8 12  8  8
 5  5  7  9
 9 10  9  8
11  5  8  5
