 8          puzzle size (rows and columns)
 4   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  1  0
 0  2  3  0
 0  3  1  0
 0  4  4  0
 0  1  6  4
 0  3  6  4
 0  3 12  1
 0  2  8  2
 0  2 12  1
 0  1  5  2
 0  4  7  1
 0  4  8  4
 0  3 10  1
 0  3  7  3
 0  2  5  3
 0  4  9  2
 0  4  5  3
 0  2 10  2
 0  1 10  3
 0  4  6  3
 0  1  7  4
 0  3  9  3
 0  2  6  4
 0  3  8  1
 0  1  8  2
 0  4  7  2
 0  2 11  2
 0  1  9  4
10 10  8  6
 7  7  6  7
 8 12 11  5
 5 11  6 10
12  8 12 12
 5  9  8 10
 7  9  7  5
10 10  5 11
 6 11  8 10
 7 10 10 11
10  9  9 11
 5 11 12  5
 8  9  5  7
 6 12  7 10
 6 11  7  9
 5 10 12 11
 8  8  9  9
 9  6  8  9
10  5  9 11
 8  9  6  9
12  8  6  7
 7  7 10 11
 6 12  7  8
11 12  7  9
12  6 10  8
12  5 12 12
 6 10  5  5
 7 11  6 11
 7  9 10  6
 6  5 11  6
11  6  8  9
11  9  5  8
 5  9  6 12
 9 11 11 12
12  7 12  8
 8  5  7  8
