 8          puzzle size (rows and columns)
 4   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  3  0
 0  4  4  0
 0  1  3  0
 0  2  2  0
 0  1  7  2
 0  1  6  4
 0  1 10  1
 0  3 11  2
 0  1  5  3
 0  2  7  4
 0  3  5  1
 0  3 11  1
 0  4  7  2
 0  2 11  3
 0  4 11  2
 0  1  6  2
 0  3  7  1
 0  2  6  4
 0  2  6  2
 0  4  9  4
 0  2  5  3
 0  1 12  3
 0  4  9  1
 0  3 10  1
 0  4  5  1
 0  4 10  4
 0  3 10  4
 0  2  7  3
 8  7  5  5
12 12  7  8
 7  9  6  7
 7  6  6  7
 6  9  5  9
10 10 11  9
11  9  7  8
 5 10  8  9
 6  7  9  8
 8  8 10 12
 8  7 11  6
10  9 11 12
11 12  5  7
11 10  6 11
 5 12 11  6
 8  9 12  7
 6 12 11 10
 6  8  9  5
 5  5 12  8
11  8  8 10
 8 11  6 12
11  8 12 12
 7  9 10  8
10  7  6 10
12  6 10 12
11  5 12  9
 7  5  7  9
12  5 12  6
11  5  8  5
 6  9  8  7
11 12  5  9
 9 10 11 10
 9  6 10  9
12  7  8 10
 6  8  8  5
 8  9  6  9
