 8          puzzle size (rows and columns)
 2   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  1  0
 0  2  2  0
 0  1  2  0
 0  1  1  0
 0  1 10  1
 0  1  8  2
 0  1  3  1
 0  2  8  1
 0  2  7  1
 0  1  6  1
 0  2  9  1
 0  1  9  1
 0  1  4  2
 0  1  5  2
 0  1  7  2
 0  1  9  2
 0  2  4  2
 0  2  6  2
 0  1  4  1
 0  2  3  1
 0  2  9  2
 0  2  7  2
 0  1 10  2
 0  2  8  2
 0  2  5  2
 0  1  7  1
 0  2  4  1
 0  2  5  1
 7  9  6  6
 5  5  5  7
 4  6  9  3
 8  8  7  9
10  5  9  6
 8  7 10  7
 4  4  3  9
 8  4  5  9
 9  7  5  7
10  3  3  8
10  7  3  4
 6  8  3  4
 7 10  6  5
 9  3  6 10
 5  3  8  6
 3  6 10  7
 9  6  8  7
 3  9  6  8
 3 10  3  7
 5  3  9  4
10  8  8  8
 7  4  5  8
 6  4 10  6
 6  4  5  4
10  5 10 10
 3  4  9  9
 3  9  7  4
 3  8  7 10
 5 10  6  5
 5  9  6  4
10  4  5  4
 7  9  5  3
 6  6  4  3
 6  7 10  4
 8  8  7 10
 5  6  8  5
