 8          puzzle size (rows and columns)
 2   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  1  0
 0  2  1  0
 0  1  2  0
 0  2  2  0
 0  1  7  1
 0  1  6  2
 0  1  7  2
 0  1  5  1
 0  1  3  2
 0  1  8  2
 0  1 10  2
 0  1  6  1
 0  2  7  1
 0  1  3  1
 0  2  3  1
 0  2  6  2
 0  1  4  1
 0  2  5  1
 0  2  8  1
 0  2  6  1
 0  2  5  2
 0  2  9  2
 0  1  4  2
 0  2  4  2
 0  1  5  2
 0  2  4  1
 0  2  7  2
 0  2 10  1
 5  9  7  7
 5  9  3  9
 8  9  8  3
 9  9  3  4
 4  8  9  3
 4  6  7 10
 3  8  8  4
10  4  9  6
 4  6  8  8
 7  4  4 10
 6  3 10  4
 7  5  7  8
 9  8  5  5
 5 10  9 10
 6  9  5  7
 6 10  5  9
 8  7  5  4
 5  7  8  8
 8  6  7  9
 7  7  5  6
 3  6  8  3
 9 10  3  5
 8 10 10  6
 4  7  6 10
 7  6  3 10
 9  4  8  9
 8  4  3  4
 3  3  4  7
 5 10  6  7
 6  5  3 10
 6 10  6  5
 5  7  4  9
 3  3  9  7
10  5  6 10
10  5  4  8
 3  9  4  6
