 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  3  0
 0  2  1  0
 0  1  3  0
 0  2  3  0
 0  4  8  2
 0  4  5  2
 0  2  8  2
 0  3  8  4
 0  2 10  4
 0  1  6  1
 0  3  6  1
 0  4 10  1
 0  1  7  4
 0  4  8  1
 0  1  5  3
 0  3  7  2
 0  4 10  2
 0  2  8  4
 0  3  9  4
 0  1  9  3
10  5  9  8
 8  8  7  7
 5  7  5  9
 6  8  5  5
 9  8 10  7
 5  7  9  7
 9  7  6  9
 6 10  5  6
10  6  6  8
 9  7 10  7
 6  8  5 10
 5 10 10  7
 9  9  6 10
 6  6  9  8
 7  9  6  6
 7  5  9  8
