 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  1  0
 0  3  4  0
 0  1  2  0
 0  2  4  0
 0  4 10  2
 0  2  7  4
 0  1  9  3
 0  4  5  2
 0  1  8  3
 0  3 10  3
 0  2 10  3
 0  2  9  1
 0  3  9  2
 0  4  7  2
 0  1  5  4
 0  4  7  1
 0  3  5  1
 0  4  5  1
 0  1  6  3
 0  3  6  4
 5  8  8  9
 5  9  7  8
 7  6  7  8
 5  6  9  9
 7  8  8  6
 8  8  7  5
 6 10  7  6
 8  8  5  9
 9  5  7  9
 5  6  9 10
10  9  6  8
10  5  8  6
 7 10 10  9
 9 10 10  6
 6  6  7  8
 7  6  7 10
