 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  2  0
 0  2  1  0
 0  1  1  0
 0  4  4  0
 0  3  7  1
 0  4 10  2
 0  1  7  3
 0  3  8  4
 0  1  5  3
 0  1 10  3
 0  4  7  4
 0  3  5  2
 0  1  9  4
 0  4  9  3
 0  2  5  1
 0  3 10  1
 0  4  9  4
 0  2  8  3
 0  3  7  2
 0  2  7  2
 6 10  6  8
10  6  8  5
 7  8  8  6
 7  8  8  9
 7  5  6 10
 8  6  9  5
10  9  7  6
 9  9  9 10
 8  8  9  6
 6  7  5  5
 5 10 10  8
 6  5  6  7
 9  6  9  7
 8  5  5  9
 9  6 10  6
10  7  7  8
