 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  1  0
 0  2  3  0
 0  3  4  0
 0  4  4  0
 0  4  7  2
 0  1 10  4
 0  1  7  1
 0  1  6  1
 0  3 10  1
 0  3  9  2
 0  1 10  3
 0  1  5  3
 0  2  5  1
 0  4  7  3
 0  3  6  3
 0  2  8  2
 0  2  9  2
 0  4 10  4
 0  2  8  4
 0  3  6  2
10  5  7  7
 7  8  9  6
 8  9 10  5
 6 10 10  5
 9  5  8  9
 5  6  5  8
 9  9  9  7
 5 10  8  9
 6  7  6 10
 8  7  8  5
 7  5  6  6
 9  9  6  8
 8  5  7  8
 6  8  9 10
 7  8 10  9
 6  6  7  7
