 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  2  0
 0  4  2  0
 0  4  3  0
 0  2  4  0
 0  3 10  4
 0  1  8  1
 0  1  6  2
 0  4  5  3
 0  1  5  1
 0  2  7  4
 0  2  9  2
 0  2  5  3
 0  4  6  1
 0  3 10  1
 0  1  6  4
 0  2  6  1
 0  3  5  2
 0  1  6  3
 0  4  8  3
 0  3  7  4
10  6  6 10
 7  7  9  6
 6  5  9 10
 5  7  5  8
 6  8  8  7
 8  6  8 10
 6 10  7  7
 8  5  7  9
 7  7  9  9
 9  8 10  7
 5 10  7  8
 9 10  5  5
 8  9  5  6
 9  9  8  8
 9 10  9  6
 7  8 10  9
