 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  1  0
 0  4  1  0
 0  2  3  0
 0  2  4  0
 0  1  7  4
 0  4 10  2
 0  3  9  3
 0  4  8  4
 0  2  6  4
 0  4  7  1
 0  2 10  2
 0  3 10  3
 0  3  8  2
 0  4  6  1
 0  1  9  2
 0  1  9  1
 0  3  9  4
 0  1  8  3
 0  1  7  2
 0  3  5  3
 9  8  9  6
 6  9 10  7
 9 10  5  6
 7 10  7  8
 9  5  8 10
10  7  9  9
 8  5  6  5
 6  5  7  6
10  6  7  8
 7  6  7 10
 5  5  9  5
 8  6  7  5
 8  8  8 10
 8  6  6  5
 9  7  9  5
10  6  8  7
