 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  2  0
 0  3  1  0
 0  2  3  0
 0  4  4  0
 0  4  6  2
 0  3  7  2
 0  2 10  4
 0  1  8  2
 0  1  9  3
 0  4 10  4
 0  3  7  4
 0  3  9  2
 0  2  8  3
 0  1  5  1
 0  2 10  3
 0  4  7  3
 0  3  7  1
 0  2  8  1
 0  4  6  1
 0  1  5  4
 6  7  8  5
 8  9  9  8
 8  6  9  7
 9  7  6  5
 9  6  5  9
 5  5  5  6
10  9 10  5
 9 10 10  5
10  9  7  6
 6  9 10  8
 8  8 10  8
 7  7  6  6
 7  5  8  6
10  6  6  9
 7  5  8  9
 7  8  7 10
