 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  2  0
 0  1  2  0
 0  4  4  0
 0  1  3  0
 0  1  5  4
 0  3  8  1
 0  2  5  1
 0  4  7  4
 0  4 10  1
 0  3  5  4
 0  2 10  2
 0  1  6  1
 0  2  7  3
 0  3  6  3
 0  2  8  3
 0  4  9  3
 0  2  7  2
 0  1  7  4
 0  4 10  2
 0  3  6  1
10  6 10  8
 6 10  9  8
 8  9  7  6
 8  5  9  9
 8  6  6  5
 9  7  9  8
10  5  8  7
 7  8  8 10
 9 10  6  7
 5  9  8 10
 7  5  8  6
 9  5  6  7
 6  6 10 10
 6  9  9  5
 8  7  5  7
 9  7  5  9
