 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  4  0
 0  1  3  0
 0  4  1  0
 0  4  3  0
 0  4  8  2
 0  2 10  4
 0  3  6  1
 0  4  6  2
 0  1  6  3
 0  2  5  2
 0  2  9  1
 0  1  7  4
 0  3  6  3
 0  3  8  1
 0  3  5  3
 0  4  7  4
 0  1 10  1
 0  2  8  2
 0  3  7  2
 0  2  9  4
 6  7  7  7
10  5 10  9
 6  5  6 10
 5  7  6  9
10  8 10  9
 7  9  6 10
 5  8  6  9
 9  9  8  5
 8  6  8  8
 8 10  6  5
10  9 10  7
 6  9  7  6
 7  9  5  8
 8  7  9  9
10  5  8  8
 7  5  5  7
