 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  3  0
 0  4  1  0
 0  1  1  0
 0  2  4  0
 0  4  9  2
 0  2  6  4
 0  3  7  2
 0  1 10  1
 0  4  6  3
 0  3 10  4
 0  1  7  4
 0  2  8  2
 0  3  5  2
 0  3  9  4
 0  1  8  3
 0  3  9  3
 0  4  8  2
 0  4  9  3
 0  2  8  1
 0  1  5  1
 5  8  7 10
 6  9  8  9
 8 10  5 10
 8  7  6 10
 7  8  5  6
 5  6  6 10
 5 10  6  9
 8  9  8  7
 9 10  8  7
 5  7  5  9
 7  9  5 10
 6  6  9  5
 6 10  6  9
 5  7  9  6
 8 10  7  7
 7  7  8  6
