 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  4  0
 0  1  2  0
 0  1  3  0
 0  4  1  0
 0  4  9  3
 0  4  6  1
 0  2  9  2
 0  2  7  3
 0  4  7  3
 0  3 10  2
 0  2 10  4
 0  3  7  1
 0  3  5  2
 0  3  5  1
 0  2  8  3
 0  1  9  4
 0  1  6  2
 0  3 10  4
 0  4  6  4
 0  2  8  1
10  8  7  9
 6  6  5  7
 9  9  8  5
 7  5  7 10
 7  5  5  8
 9  7  8 10
 8  8  9  8
 7  8  8  6
 5 10  7 10
 7  6  6  9
 6  9 10  7
 5  7  8  5
 5 10  6  9
 8 10  9  6
 9  5  6 10
 8  6  6  9
