 6          puzzle size (rows and columns)
 4   6      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  3  0
 0  3  1  0
 0  1  3  0
 0  1  2  0
 0  4  7  1
 0  1  9  1
 0  2  5  2
 0  3  5  4
 0  4  9  3
 0  4  9  2
 0  2 10  2
 0  3  6  3
 0  1  7  3
 0  2  7  1
 0  4  8  4
 0  3  6  1
 0  1  6  2
 0  3  6  4
 0  4  6  4
 0  2  9  4
 7  8  7  6
 9  7  8  8
 7 10  9  5
 7 10 10  6
 9  9  8 10
10  6  6 10
 8  9 10  5
10  8  9  7
 8  8  7 10
 7  5  9  5
 8  8  6  7
10  5 10  6
 5  5  7  8
 5  5  8  8
 9  7  6  6
 6  9  5  9
