 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  3  0
 0  5  4  0
 0  1  4  0
 0  4  1  0
 0  1  7  4
 0  5  6  1
 0  4 11  5
 0  3  6  4
 0  3 12  2
 0  5  6  4
 0  1 10  3
 0  3 11  5
 0  2 13  5
 0  2 13  1
 0  4  9  5
 0  2 11  2
 0  2  6  3
 0  4  8  1
 0  1 10  2
 0  5 13  3
 0  2  9  5
 0  2  8  3
 0  3  9  1
 0  3  7  2
 0  5  8  3
 0  1  6  2
 0  4  8  4
 0  4  7  2
 7 13 10  8
 6 10 10 13
 8  8  9 11
 6  9 11 13
10 11 13  7
10 12  9  9
 7 13  6 13
 8  6 13 13
12  9  8  6
12 12  7  6
 7 11  7 10
11 12  7 12
13 11 10 11
11  7  6 12
13  6  6 12
12 11 11 10
10  9  9  9
 9  6  6 13
 8 10  8  7
 7 13 12 11
13 10  9 10
 7  9  8 12
11 13  7  9
 8  9 10  9
 8  8 10  9
10  6  7 13
11 13 12 11
 8 12  8 10
 9  7  8  6
 9 10  8  8
10 10  8  9
11 11  8 12
 6  7 11 13
 7  9  7  7
12  7 12 12
 6 12 12 10
