 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  4  0
 0  3  1  0
 0  1  2  0
 0  2  5  0
 0  4  6  5
 0  5  6  4
 0  3 11  2
 0  4 13  5
 0  5 10  1
 0  1 13  4
 0  2  9  3
 0  3  9  2
 0  1  8  1
 0  4  8  3
 0  5  9  4
 0  4  7  2
 0  3  8  4
 0  2  8  2
 0  5 12  1
 0  4  7  3
 0  3 13  1
 0  2 13  3
 0  3  6  5
 0  2 12  2
 0  1 13  3
 0  1 11  3
 0  2 12  4
 0  5 10  5
11  9 12 12
11  8  7  7
 9  9  7  9
 9 11  8  8
 8  6  7  8
11  6  8  6
 6 11 13 10
13  9  9  8
10 11 13 10
13 12 13 10
13 12 11  7
 8 12  8 13
 6  9  8  6
11 10 13  9
12 13  7 11
13  7  8 10
 7  8  7  6
12 12 10  6
10  6  7 12
 7  6 12 11
 7 10  9 12
12 10 10 10
12  6  9 10
 7  9 11 13
 8 10  6 10
11  7  9 10
 8 10 11  6
 7 12 11  9
 8  9  6 11
13 10  8  7
 7 13  6 12
 9  7 12  9
11  7 13 10
 7 10 13  9
 8  6 11 11
 6  8  9 12
