 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  4  0
 0  2  1  0
 0  1  5  0
 0  1  3  0
 0  2 12  1
 0  5 12  4
 0  3  8  2
 0  2 11  1
 0  4 10  5
 0  1 11  3
 0  4  9  5
 0  4  6  1
 0  4 12  2
 0  2  8  3
 0  5 10  4
 0  5  7  2
 0  3  7  3
 0  5  6  2
 0  3 10  3
 0  2  6  4
 0  1  7  3
 0  5 11  5
 0  3  8  4
 0  3  9  5
 0  4  7  4
 0  2  8  1
 0  1 10  2
 0  3 10  2
 8  8 13  7
13  8  7  9
 7 12  6  7
 6 13 13 12
 9 10 12 11
12 12  8  9
 6 10 13 13
 8 13  8 10
13  7  8 12
 9  9  6 11
13 11  8 10
 8  9  9 13
13 10 11  6
 8 12  9  6
 9 13  8  6
 8 12 11 10
 7 10  7  6
 7 11  9  8
 6  9 13 10
 6  9  6  8
11 10 12  9
 6 10  7 12
 7 11  9  9
12  7  8 11
11 11  9 12
 6  7  7  8
11  6  6 13
11  8 11 10
10  7 13  7
13 10  6 11
11 10  7  9
 9 12 13 10
 7  6 10 12
 9  9 10 13
12 12  8  7
13 13 11 12
