 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  5  1  0
 0  3  5  0
 0  3  3  0
 0  3  2  0
 0  2 10  1
 0  4 12  4
 0  1  6  5
 0  4  8  3
 0  2  8  2
 0  2  6  3
 0  1  8  3
 0  4 10  2
 0  1 10  1
 0  1 11  4
 0  1 10  2
 0  2 13  3
 0  4 11  3
 0  2 10  4
 0  5  9  5
 0  5 12  2
 0  4 13  4
 0  3 12  2
 0  3  9  4
 0  2 11  4
 0  5  7  5
 0  3 13  1
 0  5 10  1
 0  4  9  5
13 10  9 11
 6 13 11  8
11  7 10 11
 8  9 10 13
13  6  8  9
13 10  8 10
12 10  8 13
13  8 11 10
 7  6 12  6
 9  6 13  9
 6  9  6  7
11  9  8  9
 7  9 13  9
 8  8 12  9
11 12  6  7
 8 11  9 11
12 12  8  8
 9  8  7 13
12 12 11 12
10  7  9  9
 6 12 10 11
12  7 13  7
 8 10  7 10
 6  9  6  6
13 11  6  7
 6 10 13  7
 9  9  7 13
12  8  6 10
 8 11 12  6
 7  7  8  8
11  7 12  6
 8 10  7 11
 9 11  6  7
12 13 10 12
13  7 10  7
 7 11 13 12
