 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  5  0
 0  4  1  0
 0  4  4  0
 0  5  5  0
 0  3 13  2
 0  3 10  3
 0  4  6  4
 0  2 10  3
 0  2 13  4
 0  5 13  3
 0  1 11  3
 0  4 10  3
 0  2  7  1
 0  3  9  1
 0  3  9  4
 0  1  8  1
 0  5 12  2
 0  2  9  2
 0  2  8  4
 0  4 10  5
 0  1 11  1
 0  3 13  5
 0  1 12  5
 0  1  8  3
 0  5 13  4
 0  2 10  2
 0  5 10  2
 0  4  9  2
12 12 12  6
 9 11 13 11
 9  8  8 12
10 11 12  6
13  9 11 10
13 10 10 11
11  8 10  7
 8  7  8  8
 7  7  7 10
10  7  7  9
10  8 12  8
12  9  7  7
10  6  9  9
11  7  6  7
 8  6 11 13
 6  6 13  6
 7  6  6  8
 6  7 11 12
 7  6  8  6
 7 12 12  9
 8  6  8 13
11  9 13  8
12  8  8 10
10 12  8 11
13  9 11  6
13 10 13  7
11 10  9 12
13 12 10  6
11 13 10 12
 9 10 11 13
 8  7 13  7
 8  9  9  6
11  6 11  7
 9 12 11  9
12  6  7  7
13  9  9 12
