 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  2  0
 0  3  3  0
 0  4  2  0
 0  2  4  0
 0  1  8  2
 0  5 11  2
 0  4  8  1
 0  3  6  3
 0  3  6  4
 0  1  8  4
 0  2 13  4
 0  2 10  4
 0  1  6  1
 0  5 13  5
 0  1  9  5
 0  4 11  3
 0  3  7  2
 0  4 13  4
 0  1 10  3
 0  5  9  3
 0  5 13  3
 0  2 13  5
 0  3 11  5
 0  4 12  5
 0  5 12  1
 0  4 13  1
 0  2  6  2
 0  3  9  1
 9  9 12  6
12  8  8  7
10  8  9 12
 8 12 13  7
 9 12  8  7
13 11  8 13
11  9 11  7
10  6  6  7
10 12 11 10
 8  9  9 10
10 10 12 12
11 13 10 13
 9  8  8  6
 8 13 10  6
11  7 11 11
 8  6 10  9
11 10  9  6
 6 12 12 11
 7 13  8 13
 6 10  8 13
12  7 11  7
11 13 11 12
 7 10 12 10
 8 13  9 13
 8 11 10  9
12  7  6  7
 8  9  7  6
11  7 10  9
11 12  9  8
10  7  6 10
 9  6  9 12
 6  7 13  7
 9 11  6 10
 9 12  7  8
12  7  7  6
 7 13 10  8
