 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  1  0
 0  2  5  0
 0  5  5  0
 0  2  4  0
 0  4  9  2
 0  1 12  2
 0  5  8  5
 0  3 11  4
 0  4  6  1
 0  2  8  3
 0  3 10  2
 0  5 10  4
 0  3  7  1
 0  3  7  3
 0  2 10  3
 0  4 13  5
 0  1  8  2
 0  4 10  2
 0  2  7  4
 0  1  7  1
 0  1 10  3
 0  5  6  1
 0  1  8  4
 0  4 13  4
 0  2  7  3
 0  3  6  3
 0  3 13  5
 0  5 10  2
10  9 11 10
12  7 11 10
 7  9 13  8
 9  6  9  9
12 12  9  8
11  8  9 13
 8 11 12  9
11  8 12 13
11  8  8  9
10  7 12  6
12  6 11  7
 7 13 11  9
10 11 10 12
12  9 13 10
11  9  8  8
11  8  7  9
 9  9  7 11
13 10  7  6
 7  6 12 12
13 13 10  6
 6  9 10 13
 8  7  6  7
 8  6 10  9
12 10  7  7
 6 12 12 11
 8 13 11 12
11 11 12 10
12  9  9  8
12 13  6  8
 9  6  6 13
 7  6 12 11
 9  8  7 13
11 10 11  6
10 13  7  6
 7 13 10 13
 8 13  8  6
