 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  5  1  0
 0  5  4  0
 0  3  4  0
 0  2  3  0
 0  3  8  2
 0  3  7  3
 0  4 10  3
 0  5 13  2
 0  2 13  4
 0  4  6  2
 0  2  6  3
 0  1  9  1
 0  2 10  1
 0  1  7  2
 0  2  8  2
 0  4 11  5
 0  1  9  5
 0  3 13  1
 0  1 10  1
 0  5  6  5
 0  5 12  5
 0  4 12  4
 0  4  8  3
 0  1  6  3
 0  4 11  4
 0  2 11  2
 0  3  9  5
 0  3 10  4
12  8 13  9
 8  6 10  8
 8 10 10 13
13  7 10  6
 6  6  9  6
13 12 11 10
10  7 11  9
13 10  6  7
 8 12 13  7
13  8 12 10
10  9 12  8
 9 11 11  9
 6 12  7 10
10  9  6  7
 8 12  9  9
11  7  8  7
11  7  8 12
 9  7 12 11
 6  6  8 13
11  7  7 11
12 11 13 11
 9  8 12 13
10  9 13 10
 6 11  9  7
12 13 10  7
10 13 11 12
10  8 13  6
12  9  6  8
 7 11  8 11
 7 13  7 12
 6  7 11 13
 7 13  9  8
11 12 10  9
 9  6 10 12
 8  8  9  6
 7  9 12  8
