 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  5  0
 0  2  3  0
 0  3  4  0
 0  3  2  0
 0  4 10  3
 0  3 10  3
 0  5 11  5
 0  4  7  1
 0  3  9  4
 0  1  7  2
 0  2  8  4
 0  2  7  5
 0  2  8  1
 0  1  8  5
 0  5 13  3
 0  4  9  4
 0  3 10  1
 0  3 11  2
 0  1 12  2
 0  4 10  2
 0  5  9  1
 0  2 13  4
 0  1 11  3
 0  4  6  4
 0  1 11  2
 0  5  6  5
 0  4  9  3
 0  5 13  1
10 12 11  8
 6 12  9 10
 7 13  9 10
13  7  6 12
 9  7  8  9
 6 13 11 12
10  6  8 13
13 12  7  7
 9 13 13  8
11  9  6 13
 8  8 12 12
 6  8 10 10
 6  8 11 10
 7 11  6 12
 8 10  7  7
11 12  7 13
10  9 10  7
11  7 11 11
 9 13 12 11
12 12 11 13
 8  9  6  7
 7 12  8 12
10 13 11  8
 9  7  6 13
 6 10  6 12
12  7 13  9
 6  8 10  7
11 10  8  6
13 10  9  6
10 10  9  7
 6  9  8  8
 9 10  7  9
 8 11  7  6
13 12 13  8
 8  6  9 12
11  9 11 12
