 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  3  0
 0  5  2  0
 0  2  2  0
 0  2  4  0
 0  4 10  2
 0  5 10  3
 0  4  7  3
 0  3 13  1
 0  3 13  5
 0  1  7  5
 0  3  6  1
 0  2  7  4
 0  3 13  4
 0  3 12  5
 0  3  7  2
 0  1  8  1
 0  5 13  1
 0  4 11  4
 0  2 12  4
 0  2  6  5
 0  1  7  3
 0  5  9  2
 0  1 13  1
 0  5  7  4
 0  4 11  5
 0  2 11  3
 0  1 13  2
 0  4 10  3
 6 11  6  8
13 12  9 10
 6  8 10  6
11  9  6  7
 8 12 11  6
10  6 12 11
10 13  8 13
 8 10  9  7
12  6  8 11
11 11 10 11
11  7 10 12
 9  6  8  7
 7 10  8 12
 9  7  8 12
13 10 10 10
 7 12 10  6
 9 12  8 12
 8  9  9  9
 8 13 11  9
11 10 13  6
 9  9  9 13
 6  8  6  9
11 12  8 12
 8 13 11  7
11 12 11 13
12  7 13  9
12  7  8  7
 8  9  7  9
13  6 11  6
 9  9 12  8
10 13  8 10
 8  6 11  9
 8  7 10 12
10  9 13 10
10  7  6 12
13  6  7  7
