 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  4  0
 0  2  1  0
 0  4  1  0
 0  5  2  0
 0  5 12  5
 0  5  9  2
 0  3 11  2
 0  4  9  3
 0  3  6  5
 0  1 13  5
 0  4 13  4
 0  1 10  3
 0  4  7  2
 0  3  7  5
 0  5 11  3
 0  2  9  1
 0  5  6  4
 0  2  8  2
 0  2 11  1
 0  4  9  4
 0  1 11  2
 0  4 10  4
 0  1  9  3
 0  3 10  5
 0  1  6  1
 0  2 12  4
 0  3 11  3
 0  2 11  3
 8  6 13 13
 9 10 10  7
11 11  6  7
 7  6 11 10
10  7  7  6
13  9  6 13
 6  7 11  6
 6  9 11  8
 8  9  8 12
10  6 12  7
 8 13  6 13
 8 10 13  7
12 13  8 11
 8  8 10  7
10  7  8 10
 9 12  8 10
11 13  9  7
12  9  8 13
12 13  7 12
 7  8 10  9
 6 12  6  8
 6 10  6  7
11  7  6 10
13 10  7 12
10  9 13 12
 7 13 12  8
 7 12 12 11
 8  8 13 13
 8 12 10  8
 6 12 12  9
 9  9  9 12
13  6  8 13
11 10 11  9
11  7  8 12
10  7 10  9
 9  9 11 11
