 8          puzzle size (rows and columns)
 5   8      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  2  0
 0  1  2  0
 0  4  4  0
 0  2  5  0
 0  1 13  3
 0  5  9  5
 0  5  7  3
 0  1 10  4
 0  3  7  1
 0  2 12  2
 0  2  9  5
 0  5 12  2
 0  4 12  3
 0  4  7  4
 0  3  9  5
 0  2 11  4
 0  1 11  4
 0  4  6  1
 0  4 11  1
 0  4  6  3
 0  5  9  1
 0  1  6  3
 0  2  8  2
 0  2  7  1
 0  5 11  3
 0  3  8  5
 0  3 11  2
 0  3 10  4
 6 13 10 13
10  7  9 12
13 11 12  8
 7 11 10 11
 9  8 11  8
 9  8 13 13
10 12  9 11
12 13  6 11
 9  7  9  6
 7 13 13  8
10  6 13  8
12  7  6  9
12  6 11 12
 6  9 12  8
 8  9 13 13
11 11  8  6
10  8 13  7
11 11  7 10
13  9  9  9
10  8 11  7
13  8 13 11
10  8  7  6
 6  7 10  7
 9  8  6 12
 6  6 12  7
 6 12 10  9
10  7  8  7
13 12  8 10
 7 11 12  9
 8 10  7  8
 8 10 10  6
13  6 10  9
13  6 13  8
12 10 12  7
10 12  7 10
11  9 12  9
