 7          puzzle size (rows and columns)
 4   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  4  0
 0  2  1  0
 0  3  3  0
 0  1  1  0
 0  1  6  1
 0  2  6  3
 0  1  8  4
 0  3 10  1
 0  4  8  4
 0  2 10  4
 0  4 10  3
 0  3  6  4
 0  1  9  3
 0  1  6  3
 0  4  7  1
 0  2  8  3
 0  4  5  2
 0  4 10  4
 0  3 11  2
 0  4  9  1
 0  3  8  2
 0  2  9  2
 0  1 10  2
 0  3  6  2
 7  9  8  9
 8  8  5  7
11  5  8  7
 6  7  6 10
 9 11  7 11
 5  7 10  5
 5  9  6  9
10  9  7  8
10 11  5 10
 7  5  9  7
 8  7 11  6
 9  8 11  5
11  8 11 11
 6  5  7 11
 8  6 10  9
 6  9  8  8
 6  5 10  5
 5  7 11  5
 8 11  5 11
 6  8 10  6
11  7  6  7
10  5 10  7
 7  7  9  9
 9 10  9  8
 9 11  6  6
