 7          puzzle size (rows and columns)
 4   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  2  0
 0  3  2  0
 0  1  4  0
 0  3  1  0
 0  1  6  4
 0  4  8  2
 0  4  8  1
 0  2  9  1
 0  1 10  3
 0  1  9  4
 0  2  8  4
 0  3  8  3
 0  3  9  3
 0  4  7  2
 0  2 10  3
 0  4  5  4
 0  1  6  2
 0  3  5  1
 0  4 11  3
 0  3 10  3
 0  1 11  2
 0  2 10  4
 0  2  6  1
 0  2 10  1
 8  9 10 10
10  6  7  8
11  9  6  7
 6 11  5  6
 8  9  7  6
 9  8  6  5
10 11  7  5
11  5  9 11
 7  7 10  8
10  5 10 10
11  8  8  7
 9 10 10  5
 7  7  6  6
 6  6 11 11
 6  9  8  5
 5  5  7  9
 8  7  6  8
11  5 11  7
 6  8  7  9
 9  6 11  8
 9  7  9  9
 7  6 10  5
11  5  8  7
 7 11  9  5
 9  8 11  5
