 7          puzzle size (rows and columns)
 4   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  1  0
 0  1  2  0
 0  3  2  0
 0  4  4  0
 0  2 11  2
 0  3  8  2
 0  4  9  3
 0  2 10  1
 0  3  5  4
 0  2  5  2
 0  1  6  3
 0  1  6  4
 0  2  7  1
 0  4  5  4
 0  2  7  3
 0  4  8  3
 0  3  8  4
 0  4 11  4
 0  1  6  2
 0  1  9  3
 0  2  8  1
 0  4  9  1
 0  3 10  1
 0  1  7  3
 9  6  5  9
 9 11  9  7
 7 10  7  6
10 10 11  8
 6 11  9  5
 9  9 10  9
 7  7  6  5
11  8  6  6
 7 10  6  5
11  5  8  5
10 10 10  7
11  6  8 10
 6  8 11  5
11  5  7  7
 7 10  5  8
 9  8  8 11
 8  6  5  6
 6  8  7  6
 5  5 11 11
11  6  7 10
 5  9 11 10
 8  6  9 10
 9  9  7  8
 7 10  9 11
 8  7  9  8
