 7          puzzle size (rows and columns)
 4   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  1  0
 0  4  3  0
 0  2  3  0
 0  1  2  0
 0  2  7  3
 0  2  8  4
 0  3  7  2
 0  1  9  4
 0  1 10  2
 0  4  5  3
 0  2  6  3
 0  3  9  1
 0  4 11  2
 0  3  8  4
 0  2 10  1
 0  1 10  3
 0  4  8  1
 0  4  9  4
 0  2  8  1
 0  1 10  4
 0  3  5  2
 0  1  8  1
 0  3  7  4
 0  4  9  2
 7  6  5 10
 6  6 10  5
10  9  8  7
 5  6 11 11
 5 11  7 11
 7  5  8  9
 7  8  8  7
 5  8  5  9
 5 11  6  8
 5 10  6  6
 9  9  8 11
11  7 10  8
 6  9  7  6
 6  9 11  7
 8  8  9  9
 6  7 11 10
11 11  7 11
 9 10  9  7
 8  7  5 10
 6  6  6 11
11 10  5 10
 5 10  5  6
 8  9  6  6
 7  9  9  8
10 11  7  5
