 7          puzzle size (rows and columns)
 4   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  2  0
 0  1  3  0
 0  4  3  0
 0  2  1  0
 0  3  9  2
 0  2 10  3
 0  3  6  3
 0  1 11  2
 0  4  9  2
 0  3  7  1
 0  1  9  1
 0  3  7  4
 0  4  5  1
 0  3  8  3
 0  4  9  4
 0  2  7  4
 0  2  9  4
 0  4  5  4
 0  3  5  3
 0  4  5  2
 0  1  7  1
 0  1  8  1
 0  1  8  4
 0  2  9  2
10  8  7  8
 8 11 10 11
 8 10  6  9
11  6  9  6
 5  6  8  8
10  9  7 11
 6  7  5 11
 7 11 10  7
 8 11  7  6
 7  6  8  7
10  6 11  8
11  7  5  8
 5 11 10  7
 9  6 10 11
 8  5 10 11
 5  8  5  7
 5  6  8  6
10 11  9  9
 5 10  9  9
 9  8  6 11
10  5 10  6
 7  9  5 10
 6  7  5  6
 9 11  7  8
10  9  6  6
