 7          puzzle size (rows and columns)
 4   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  4  0
 0  3  2  0
 0  1  3  0
 0  4  3  0
 0  3  7  1
 0  3 11  2
 0  2 10  4
 0  4  9  2
 0  4  7  1
 0  3  9  3
 0  1  7  4
 0  2  8  4
 0  2  9  1
 0  1 11  1
 0  4  6  1
 0  4  7  2
 0  3 10  3
 0  4  8  2
 0  1  8  3
 0  2  7  4
 0  3  6  3
 0  2  6  2
 0  1  8  1
 0  1  6  4
10  6  9  9
 9 10 11  5
11  5 10 10
11  9  5  6
10 10  5  5
11  5  6 11
 9  8 11  9
 9  8  6  5
 9  8  5  5
10  5  7  7
 5 10 10  7
 5  7  8  6
11  8  6  8
 9  6  9  9
 8 11 10  8
10  5  9  8
 6  9 11 10
 5 11  8  6
 6 10  8 10
 8 11  7 11
 7  6 11  6
 8  7 11  7
 7  6  9  8
 6  5  7  5
 7  7  9  7
