 7          puzzle size (rows and columns)
 3   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  1  0
 0  2  3  0
 0  1  2  0
 0  3  1  0
 0  1 10  3
 0  3  4  1
 0  1 10  1
 0  3  4  2
 0  2  6  2
 0  3  7  1
 0  3 10  2
 0  3  5  2
 0  1  8  2
 0  2 10  3
 0  1  6  3
 0  2  8  2
 0  2  5  1
 0  2 10  1
 0  2  9  3
 0  3  6  3
 0  3  7  3
 0  1  8  1
 0  1  5  2
 0  2  6  3
 8  7  4  8
 5 10  6  7
 4  8 10  6
 5  6  8  4
 6  6 10  9
10  9  9  6
 9  5  7  4
 6  8  5  9
 6  8  8 10
 7 10  9  7
 8  4 10  5
 6  7  5  4
10  5  6  9
 9  9  4  9
 8  7  7 10
 5  5  8 10
 4  7  9  5
 9  4  6 10
 4  4  6  5
 4  7  5  8
 6  9  5  7
 5  4  8  7
 7  8  5  7
 8  9  9  7
 6  8  7  4
