 7          puzzle size (rows and columns)
 3   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  1  0
 0  3  3  0
 0  3  2  0
 0  2  1  0
 0  1  4  1
 0  1  7  2
 0  3  4  2
 0  2 10  3
 0  2  6  1
 0  2  8  1
 0  3 10  3
 0  1  4  2
 0  2  5  3
 0  3  6  1
 0  1  8  3
 0  1  5  2
 0  2  7  3
 0  1  8  1
 0  2 10  2
 0  3  6  2
 0  2  6  3
 0  1  9  2
 0  1  9  1
 0  3  7  3
 9  6  8 10
 4  5  4  8
 7  7  5  6
 9  4  5  5
 9  5  8  6
 6 10  9  7
 4 10  7  7
 9 10  9  8
 7  9  9  7
 9  6  8  6
 5  5  6  6
10  8  8  5
 9  8  4  7
 5  8  4 10
10 10  8  7
 8  5  7 10
 8  4 10  6
10  5  6  7
 4  6  5  9
 5  7  9  4
 7  6  8  5
 5 10  5  8
 8  7  7 10
 4  4  9  4
 4  6  9  6
