 7          puzzle size (rows and columns)
 3   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  1  0
 0  3  1  0
 0  1  1  0
 0  2  2  0
 0  2  7  2
 0  2  4  1
 0  1  5  3
 0  1  8  3
 0  3  4  2
 0  1  8  1
 0  3  7  2
 0  3  9  3
 0  3 10  2
 0  1  6  2
 0  1  9  1
 0  2  7  3
 0  2  5  2
 0  1  4  3
 0  3 10  3
 0  2 10  3
 0  3  6  1
 0  1  9  2
 0  2  4  3
 0  3  8  1
 7  9  5  4
 9 10  5  4
 5  8  6  9
10 10  7  8
 6  6 10  6
 7  4  7  7
 7  7  8  8
 9  5  5 10
 4  9  9  8
 5 10  4 10
 6  8  6  7
 7  4  4  5
 8  5  9  8
 6  8  7  5
 6  9  7  9
 7  6  6  4
10  8  4  8
 4 10  9  5
 5  5  5  6
 7  6  7  9
10  6  4  8
 9  8 10  6
 4 10  5  8
 5  5  6  6
 7  8 10  9
