 7          puzzle size (rows and columns)
 3   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  1  3  0
 0  3  2  0
 0  1  2  0
 0  2  3  0
 0  1  7  3
 0  2  9  3
 0  3 10  3
 0  1  5  1
 0  2 10  3
 0  2  5  1
 0  1  8  3
 0  3  9  2
 0  2  7  1
 0  3  8  1
 0  2  8  2
 0  3  6  2
 0  1  8  2
 0  1  4  2
 0  3 10  1
 0  3  4  2
 0  1  8  1
 0  2  4  1
 0  2  7  3
 0  3  6  1
 5 10  8  5
 4  7  9  5
10  5  4  9
 5  6  6  8
 6  9  8  6
 8  7  4  5
 8  4 10  6
10  5  8  4
 6  9  4  8
 9  4 10 10
 4  5 10  4
 6 10  7 10
 6  6  4  7
 6  7  6  6
 4  9  8  7
 7  7 10  9
 4  9  5  6
 5  4  8 10
 9  7  5  7
10  6  6  9
10  5  6  7
 8  7  9  7
 5  8  9  9
 8  8  5  5
 9  5  7  7
