 7          puzzle size (rows and columns)
 3   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  3  1  0
 0  3  2  0
 0  1  3  0
 0  1  1  0
 0  2  5  1
 0  2  4  3
 0  2  6  3
 0  2  9  1
 0  3  8  1
 0  2  8  1
 0  1  4  3
 0  2  4  1
 0  1  5  2
 0  2  5  3
 0  1  7  3
 0  3  7  2
 0  3  8  2
 0  1  6  3
 0  3 10  1
 0  2  9  2
 0  1 10  2
 0  3  7  3
 0  3 10  2
 0  1  4  2
 5  4  7  6
 8  5 10  4
 5  8  9  9
 7  6  9  9
 9  9  7  8
 8  7 10 10
 6  8  6  5
 6 10  7  8
 9  6  8  9
 8  7  7  4
 6  8  6  7
 6 10  5  7
 8  5  4  7
 7  6 10  8
 7  5  4  5
10  5  8  5
10  4  9  9
10  9  4  8
 4 10  5  4
 4  9  6 10
 5  9  6  5
 5  4  5  6
 4  9  8  7
 6  7  6  6
10  7 10  8
