 7          puzzle size (rows and columns)
 3   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  2  0
 0  1  3  0
 0  2  3  0
 0  3  1  0
 0  2  5  2
 0  2  6  3
 0  2 10  2
 0  1  6  2
 0  3  4  1
 0  3 10  3
 0  1  7  1
 0  3  8  1
 0  3  4  3
 0  2  4  1
 0  1  9  3
 0  3  5  1
 0  3  9  3
 0  2  8  2
 0  1 10  2
 0  2  5  1
 0  1  8  1
 0  3  7  2
 0  1  7  3
 0  1  8  2
 8  4  4  6
 6  6 10  7
 7  8  7  9
 6  8  5  7
 4  9  6  5
 5  5 10  7
 5  5  8  6
 8  4  4  9
 4 10  8  4
 9  6  6  7
10  8  9  6
 7  5  4  5
 8  5  5  6
 6  7  4  6
 9  8  8  8
 5 10  4  8
 7  6  8  7
 7  7  4 10
10  9  6  9
 5 10  9  9
 9  5 10 10
 4  6  7  5
10  6  7  5
 9 10  9  8
 4  9  7 10
