 7          puzzle size (rows and columns)
 3   7      # border colours  # inside colours
Top Rgt Bot Lft
 0  2  1  0
 0  3  3  0
 0  3  1  0
 0  2  2  0
 0  1  9  3
 0  1 10  3
 0  2  8  2
 0  1  4  3
 0  2  6  1
 0  1 10  2
 0  3  5  3
 0  2  7  1
 0  2  6  2
 0  2  6  3
 0  3  9  3
 0  3  6  2
 0  1  7  1
 0  1  6  1
 0  1 10  1
 0  3  9  2
 0  3  4  2
 0  3  6  3
 0  2  8  1
 0  1  8  2
 9  5  4  6
 6  4 10  9
 7  8  5  4
 8  8  8  5
 7  7  5  8
 6  9  5  7
 9 10  6 10
 7  5  6 10
 8  8  7  5
 9  7  7  7
 9  7  9  5
 4 10  7  7
 7  6  8  7
10  4  9  6
 4 10  9  8
 5  4  5  6
 5 10  8  4
10  9  8 10
 4  6  6  4
 9 10  4 10
 5  7  6  6
 5 10  5  9
 9  5  4  8
 5  4  4  8
 8  5  8  7
